#{"t_start": 1684990955.8267813, "env_id": "donkey-waveshare-v0"}
r,l,t
57.072482,186,2226.357113
21.328854,70,2234.837881
80.275117,329,2247.489897
75.261508,183,2257.790116
105.831609,1024,2301.403456
138.22445,2560,2408.562535
69.686547,911,2443.86245
83.304088,625,2473.985286
119.838224,512,2495.994507
112.229898,361,2509.366763
28.32844,151,2519.270287
44.476878,256,2530.837635
64.696743,704,2556.045962
10.176485,64,2564.607608
17.957985,88,2567.230541
21.551415,113,2570.284331
3.545634,55,2578.671426
72.843345,512,2600.672396
71.135762,256,2612.180799
77.803707,256,2623.751757
103.082485,256,2635.330765
101.608647,441,2649.950608
18.580422,71,2658.551746
232.398238,768,2691.124861
68.031692,256,2702.676855
66.931405,275,2714.557896
112.260182,536,2738.6098
52.837083,238,2749.996176
30.650698,231,2761.281084
140.468714,972,2798.574609
3.059428,65,2808.510242
53.80277,243,2820.894225
48.632543,256,2833.481385
46.296929,256,2846.002395
136.197517,512,2868.933961
130.755799,256,2880.862637
85.569181,256,2892.658585
91.358078,287,2904.86172
98.608985,206,2909.455264
85.512217,275,2927.880495
186.426635,512,2950.05867
111.168238,256,2962.588199
59.365329,143,2966.136955
27.407102,113,2976.933449
59.179232,168,2980.83208
25.598817,88,2989.692791
107.313173,256,3001.230257
138.830728,256,3012.640789
215.818295,256,3024.27005
151.637919,172,3028.312032
53.145937,84,3036.97684
252.333255,256,3048.552471
148.293167,162,3052.377213
69.67373,94,3061.179311
110.078015,145,3064.745362
93.735622,111,3073.870931
287.733645,256,3085.19557
116.610926,128,3088.468261
54.235062,79,3091.035659
21.584176,49,3099.308318
126.279172,117,3102.419613
129.509415,129,3105.677388
0.538185,10,3113.160909
132.745625,112,3116.20795
81.175692,88,3118.857848
39.924586,56,3127.128112
245.800777,256,3138.607775
230.358717,256,3150.123566
58.15338,103,3153.025625
133.776173,153,3162.92947
197.720037,256,3174.488515
219.949484,256,3186.171621
543.048082,512,3208.066464
261.624445,256,3220.213309
260.405448,256,3232.11283
53.577625,106,3235.090981
71.790187,101,3237.928899
24.36936,49,3246.830918
100.877829,180,3251.248635
53.747927,76,3260.912055
97.893214,161,3264.823461
42.17682,95,3274.10395
84.824202,164,3278.018257
45.359098,92,3287.965299
198.412347,256,3300.761528
105.710023,163,3304.599385
64.826824,93,3314.060699
178.080087,256,3326.007791
164.041466,256,3337.870764
191.877339,256,3349.800813
217.106904,226,3354.662646
9.206765,30,3362.893986
77.511223,92,3365.625689
101.060295,109,3368.639365
32.959516,55,3377.545794
62.06067,77,3380.082473
188.833154,179,3390.979203
252.161216,252,3396.280399
-1.0,4,3403.94458
113.181499,117,3407.075109
131.973269,139,3417.14905
293.014631,239,3422.255588
0.033228,17,3430.24172
131.863823,144,3433.771833
98.484155,112,3443.305088
260.115254,229,3448.247454
10.816549,27,3456.380744
177.178612,175,3460.430643
81.485864,70,3462.816713
0.520578,11,3470.528905
172.142457,179,3474.683922
83.015988,77,3483.689674
83.455844,276,3495.865329
27.176466,292,3508.460226
252.697067,1992,3596.44231
75.848025,930,3631.848972
55.503088,1411,3695.139021
35.420667,506,3717.397906
34.869728,475,3732.805658
193.560227,1770,3807.474434
32.537083,338,3827.663706
36.559528,286,3840.487077
79.844048,684,3873.493048
89.011329,256,3886.024285
