Step,画像,VAE32,Pooling,VAE64
95488,102.6088943,101.5682755,34.55678177,126.938385
95744,100.556366,97.93076324,34.60731506,125.3928452
96000,99.54750824,98.50476837,35.34448242,126.0326309
96256,99.28583527,95.58934784,36.35655212,128.3238525
96512,98.01954651,94.85109711,36.25478363,123.9125443
96768,96.74624634,94.77787781,36.12818146,126.11409
97024,94.8653717,94.12708282,36.88934708,126.1193085
97280,91.6925354,91.80796814,37.3567543,126.1086502
97536,87.58143616,90.94245148,36.21636581,125.4415359
97792,87.32431793,90.68135834,36.77033234,125.5647507
98048,86.45766449,89.90142822,37.96023941,125.8947983
98304,86.02696991,90.66947174,39.43612671,127.1307755
98560,86.93243408,90.46797943,39.50382233,123.436203
98816,86.65018463,89.12827301,39.1517601,123.5805664
99072,85.6667099,89.43479919,39.88337326,124.3605804
99328,85.98577118,88.64376831,40.75152206,123.8779984
99584,86.77571869,87.83479309,40.57095337,124.5718384
99840,88.18481445,88.32836914,40.57909775,126.6397018
100096,88.16981506,86.98339081,40.85879517,126.7308273
